index,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,word,participant number
Native_I1,-155.60287,146.32335,-22.533226,11.936921,0.8533695,-5.7359996,-8.60987,14.840208,-12.901984,6.0919495,-4.5366945,8.236077,-4.4672074,1,4
Native_I2,-127.93284,136.31812,-20.413157,16.17916,8.022797,-0.6285379,-11.305688,23.716925,-11.513646,5.1065745,-2.0937903,1.4713005,-4.864282,1,4
Native_I3,-118.60727,162.98346,-24.338602,-0.7885644,18.32264,0.53744197,-21.253675,30.776062,-15.490807,4.713807,-3.802823,8.649935,-2.406834,1,4
Native_you1,-164.04646,159.6467,25.597565,35.190987,-5.1686773,10.711205,0.8685909,-13.199787,3.8463984,-11.703428,2.0325208,-1.6854575,-4.289524,2,4
Native_you2,-198.02367,136.81894,42.91597,38.53818,-8.679946,5.65648,9.482002,-9.153257,-5.0884576,-10.540356,-3.8062048,6.2281055,-11.853343,2,4
Native_you3,-187.4181,172.58394,40.559303,39.69914,-4.0835094,8.583331,6.2777495,-9.612985,2.5236542,-14.0215025,-0.5677497,-7.8509145,-2.3764443,2,4
Native_he1,-173.89517,96.60796,40.15123,63.313736,-22.828331,5.036288,27.382254,-10.309875,-3.743072,-0.09353515,1.0758488,-1.7090787,-10.961004,3,4
Native_he2,-187.76427,104.09336,47.218506,54.05195,-26.725962,6.482975,25.107273,-13.110272,3.0973966,-7.4477696,1.6917421,-3.0550573,-3.8652682,3,4
Native_he3,-159.87465,125.19105,36.897343,53.539692,-31.077463,15.098943,20.066475,-14.821114,4.5082555,-9.482832,0.623223,-8.553049,-1.9644113,3,4
Native_she1,-148.53317,79.31443,25.080795,86.2755,-16.242489,-8.861016,19.308376,4.336417,-8.544635,-5.047716,-4.060126,1.752872,-6.6402264,4,4
Native_she2,-149.64067,107.15306,32.563522,63.798332,-17.075312,-0.39421335,16.56012,-0.07061039,-5.2253904,-3.7850196,-0.8605785,-1.6439213,-0.034338634,4,4
Native_she3,-112.06871,90.47805,31.0433,69.244255,-15.765002,-3.3482797,18.51221,0.10790345,0.6385698,-2.621466,-3.4915798,-4.783314,0.95076853,4,4
Native_it1,-169.36188,108.072,26.135376,37.194977,-9.37148,-1.1513977,-7.0938873,0.09013056,4.199246,-4.525545,-0.040827405,7.5688233,12.096079,5,4
Native_it2,-494.08008,82.75705,34.365807,38.742817,-5.747713,-3.8088014,-4.6083903,-5.968453,6.9065523,-8.899901,0.14698742,15.434995,8.941568,5,4
Native_it3,-141.09871,87.11389,35.952053,44.850113,-12.713315,-3.7850022,-5.5007405,0.88841337,9.5290575,-4.4215474,0.07616634,5.07576,9.866075,5,4
Native_we1,-196.28102,134.78668,33.936718,56.68866,-8.051398,5.492752,21.437223,-8.932567,0.37331468,-9.046136,2.416282,-10.192585,-14.937715,6,4
Native_we2,-196.32727,142.69154,37.880417,55.179325,-16.164257,2.0802898,17.186646,-7.5662713,-2.509098,-11.210731,6.310154,-4.3532767,-7.2552505,6,4
Native_we3,-168.90579,147.43315,36.919243,54.131573,-24.828651,7.7309,19.480545,-13.880554,1.6343403,-10.192439,5.1950693,-12.5166645,-8.959757,6,4
Native_they1,-179.56282,161.26503,14.793889,40.311108,-5.354094,-6.7686653,-1.6226145,0.55910486,4.877978,-10.677867,4.3651376,7.8610973,3.078499,7,4
Native_they2,-182.74553,156.80896,6.354599,43.48553,0.65738964,-13.367858,-8.111747,2.589287,9.976938,-9.771309,-1.0840783,7.805222,0.43015385,7,4
Native_they3,-167.43268,152.07051,7.4984856,53.912167,-4.4142966,-16.080276,-13.262904,1.4628967,9.4181185,-15.519983,6.6596212,4.926001,-0.022998419,7,4
