index,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,word,participant number
Native2_I1,-151.8776,147.75748,-29.753477,26.46009,9.403116,-7.253879,-5.626622,-6.539412,7.7343044,1.5515516,-5.375037,5.937242,-15.440668,1,2
Native2_you1,-203.83963,146.72643,37.346786,17.620163,24.45004,-12.205671,4.6339626,-11.02563,-0.9380875,-8.850666,-2.8042018,0.91241586,-5.318862,2,2
Native2_he1,-205.5575,127.475876,48.019016,38.916233,17.016176,-33.175343,12.735362,7.753993,-13.149448,-7.966526,-2.3168573,5.530909,-18.60812,3,2
Native2_she1,-150.61691,101.84046,35.08511,45.06135,-4.3091035,-11.962938,9.785245,2.5299022,-7.628797,-9.926918,-5.332589,9.11883,-12.738547,4,2
Native2_it1,-192.48941,125.84236,24.406767,21.13054,10.545833,-7.7603855,-15.345798,0.16280599,6.9081864,-6.2620997,-1.913237,3.2668474,0.47664097,5,2
Native2_we1,-200.29729,131.1038,44.98995,28.810991,16.850395,-21.898996,5.255437,6.886376,-14.551168,-8.584862,-1.4145832,-2.2616777,-8.205124,6,2
Native2_they1,-185.43689,141.5455,21.468832,21.312088,28.305805,-33.974346,-17.611048,-0.11613958,-2.4906354,-12.728053,-3.4059758,10.149611,-5.7848754,7,2
Native6_I1,-169.51591,164.63332,-1.8363281,24.07104,-30.779171,-13.191275,-0.6776579,-4.3742156,17.589594,-30.499254,24.694572,11.738696,-10.666315,1,6
Native6_you1,-271.3893,162.17873,32.58073,39.38473,29.544718,2.2205436,1.7363826,7.418966,-0.16487148,-16.521025,-4.058397,-1.3836447,-14.205504,2,6
Native6_he1,-193.59558,107.075455,25.787607,85.79015,27.849466,-20.596796,-6.799322,22.850279,3.7377436,-36.555714,-1.5851775,14.977424,-36.386066,3,6
Native6_she1,-226.47476,105.244576,10.215061,69.118546,20.841345,-13.745459,-6.0044947,22.728928,-1.1207845,-19.31983,-1.9749144,10.345545,-21.236753,4,6
Native6_it1,-198.20792,121.24776,-3.8818438,60.13546,15.709205,2.0876775,-16.960928,-7.9219313,15.516217,-17.731321,-0.9994159,5.4510207,-19.040745,5,6
Native6_we1,-253.2202,154.1613,21.530785,49.24025,25.839703,-5.247656,1.3518082,13.71147,8.49564,-20.050312,-1.8574932,15.015201,-22.647938,6,6
Native6_they1,-212.5964,154.13728,12.713412,51.15046,14.561752,6.4193153,-22.685833,-2.3060882,16.952457,-20.617365,-9.088572,16.394041,-18.846397,7,6
