index,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,word,participant number
Nonnative_I1,-133.7626,156.84727,-32.01537,0.010489273,-4.67771,-23.994766,19.419292,-1.2170317,-0.02647686,0.39560276,7.2689657,-7.0114274,-3.2543964,1,99
Nonnative_I2,-161.2005,147.76207,-10.794374,42.594456,-21.60924,-16.00164,9.188856,-18.667856,-7.6634746,-1.6147604,-7.8133807,17.451122,-7.4432945,1,99
Nonnative_I3,-133.85092,135.18643,-13.136735,33.297173,-25.150423,-17.39096,2.7285943,-3.5922751,-7.5038853,-2.9384484,-6.959948,16.285107,-4.8126516,1,99
Nonnative_I4,-200.97849,164.26466,-2.1577945,43.787636,-23.352003,-14.957581,15.605874,-28.600012,-2.5642695,-0.9025211,-14.20242,13.687288,-9.9765,1,99
Nonnative_I5,-135.56822,154.65436,-30.925018,3.4687674,-5.767987,-21.902893,17.902786,-1.6221199,-1.5831707,-0.1113019,5.386594,-9.088395,-7.128655,1,99
Nonnative_I6,-137.10573,150.13516,-27.722527,9.297253,-4.615139,-23.932129,20.283672,-1.3929745,-8.600278,8.768435,3.4372094,-6.245009,-1.0224311,1,99
Nonnative_you1,-212.18526,171.59315,20.616697,4.8668027,23.363935,-5.7654357,9.804879,-14.089946,8.050616,-21.18821,-1.7584937,4.6307464,-9.278489,2,99
Nonnative_you2,-254.46016,168.43214,19.732525,6.274055,17.923773,-8.360895,14.949985,-13.984119,1.1687148,-26.296677,-1.3646677,5.1521688,-10.683719,2,99
Nonnative_you3,-217.02353,127.60908,18.173029,68.528694,32.943844,-5.550448,-7.612037,-0.45577103,-14.57043,6.2193656,-36.638294,-0.48294944,-0.8974095,2,99
Nonnative_you4,-209.71461,170.1014,13.490902,7.811417,15.608523,-8.240388,11.179081,-13.762692,0.69607925,-16.48571,-2.2650464,3.4017467,-4.9251065,2,99
