index,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,word,participant number
Native1_i1,-163.33047,135.55688,-22.60822,8.709469,8.252865,-2.7335942,-37.28519,37.427994,0.25176153,14.657024,-12.935216,-4.8132133,5.2640896,1,1
Native2_i2,-162.16653,134.7286,-14.757291,5.2663674,8.581559,0.2862785,-38.360657,38.814194,-1.0844179,8.460651,-13.965059,-5.086792,-0.34262973,1,1
Native3_i3,-158.60036,123.85979,-22.383276,-2.8274996,7.2955127,-2.3103867,-31.43747,34.064095,-1.2428128,5.182175,-4.897393,-10.254661,-0.16525176,1,1
Native1_you1,-243.17056,146.47003,31.891272,33.328625,15.391224,-5.1338263,-3.4280136,5.6905684,4.1651225,-3.0462348,-14.64753,4.2007904,-4.537467,2,1
Native1_you2,-218.8282,136.74323,28.942879,37.146217,18.962435,-9.217225,-9.84154,2.5469897,2.8688638,-3.2016253,-13.089464,5.4322143,-9.46556,2,1
Native1_you3,-244.47798,133.05884,42.486763,30.631872,13.68627,-7.5489807,1.1681684,3.3308053,2.085771,-9.249182,-15.28434,7.1736693,-12.4545555,2,1
Native1_he1,-189.01096,90.4916,30.40144,68.45651,-6.765447,-10.271532,3.9913244,11.821849,-12.200539,5.792892,-7.9541054,-4.5201054,3.7895513,3,1
Native1_he2,-189.21977,93.81313,29.987278,64.50464,-9.125845,-9.833087,5.1489954,13.432282,-11.903317,3.703663,-13.608568,-4.2962465,4.14934,3,1
Native1_he3,-197.521,89.72742,38.29747,62.67399,-14.310142,-3.663705,9.439522,10.029105,-11.430118,2.1519587,-5.7387147,-4.942732,-0.41914096,3,1
Native1_she1,-154.69543,76.38078,19.813635,72.12628,1.2741613,-19.390476,4.863859,18.30485,-9.491902,-0.42247134,-12.933508,0.7139205,1.6301196,4,1
Native1_she2,-163.94836,69.01074,21.788023,70.05399,0.92433214,-12.151851,1.9306561,15.8364,-9.699168,-1.6734667,-10.60979,-3.7648869,1.9201446,4,1
Native1_she3,-178.9767,81.72238,13.661358,73.69604,4.1641498,-19.167936,-0.41138232,18.598719,-9.035901,-0.6843267,-13.237762,-5.8936825,5.777278,4,1
